"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"1","NIC1290","A",1e-05,0.249327,"NIC1290",3.605792988,-53.17799502,"South America","LAC"
"2","QG3871","A",1e-05,0.307909,"QG3871",10.44027,-84.01227,"Central America","LAC"
"3","NIC1393","A",1e-05,0.333145,"NIC1393",3.621482989,-53.21409596,"South America","LAC"
"4","NIC443","A",1e-05,0.347573,"NIC443",4.08447,-52.67858,"South America","LAC"
"5","NIC312","A",1e-05,0.359989,"NIC312",4.03892,-52.67656,"South America","LAC"
"6","QG3880","A",1e-05,0.366137,"QG3880",10.43089,-84.00684,"Central America","LAC"
"7","NIC941","A",1e-05,0.369897,"NIC941",4.03687,-52.67743,"South America","LAC"
"8","NIC920","A",1e-05,0.371049,"NIC920",4.04232,-52.68144,"South America","LAC"
"9","NIC1268","A",1e-05,0.376418,"NIC1268",3.608203959,-53.175201,"South America","LAC"
"10","NIC1927","A",1.5e-05,0.376573,"NIC1927",14.719237,-61.100187,"Caribbean","LAC"
"11","QG3793","A",1e-05,0.376659,"QG3793",10.42583333,-84.00995,"Central America","LAC"
"12","NIC1862","A",1e-05,0.38157,"NIC1862",14.843986,-61.214646,"Caribbean","LAC"
"13","NIC1257","A",1e-05,0.39899,"NIC1257",4.085349999,-52.68294297,"South America","LAC"
"14","NIC1300","A",1e-05,0.407003,"NIC1300",3.594842032,-53.17887696,"South America","LAC"
"15","JU1976","A",1e-05,0.4129,"JU1976",-2.96,-59.84,"South America","LAC"
"16","NIC478","A",1e-05,0.420848,"NIC478",4.08855,-52.67645,"South America","LAC"
"17","NIC925","A",1.6e-05,0.424519,"NIC925",4.03975,-52.67435,"South America","LAC"
"18","JU3170","A",1e-05,0.446661,"JU3170",0.289,6.612,"Africa","Af"
"19","NIC57","A",1e-05,0.447586,"NIC57",4.08658,-52.67928,"South America","LAC"
"20","NIC2362","A",1e-05,0.454318,"NIC2362",4.038404971,-52.677023,"South America","LAC"
"21","NIC1856","A",1e-05,0.459876,"NIC1856",14.674356,-61.095002,"Caribbean","LAC"
"22","NIC942","A",1e-05,0.460614,"NIC942",4.04007,-52.67494,"South America","LAC"
"23","NIC1028","A",1e-05,0.462601,"NIC1028",4.03896,-52.66843,"South America","LAC"
"24","NIC407","A",1e-05,0.465622,"NIC407",5.41418,-53.65416,"South America","LAC"
"25","HPT56","A",1e-05,0.466831,"HPT56",-8.52582,115.167492,"Indonesia","Indo1"
"26","NIC363","A",1e-05,0.481072,"NIC363",4.95234,-52.49148,"South America","LAC"
"27","NIC945","A",1e-05,0.485718,"NIC945",4.03707,-52.6772,"South America","LAC"
"28","NIC1355","A",1e-05,0.487065,"NIC1355",4.057417978,-52.67890298,"South America","LAC"
"29","QG3847","A",1e-05,0.488453,"QG3847",10.41828889,-84.00399167,"Central America","LAC"
"30","NIC1563","A",1e-05,0.488758,"NIC1563",25.00481,121.73369,"Taiwan","Tw5"
"31","NIC2373","A",1e-05,0.490326,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"32","NIC1188","A",1e-05,0.499898,"NIC1188",-12.88252903,-69.48456,"South America","LAC"
"33","NIC393","A",1e-05,0.500003,"NIC393",4.04701,-52.67817,"South America","LAC"
"34","BRC20391","A",1e-05,0.500325,"BRC20391",25.016672,121.557423,"Taiwan","Tw5"
"35","NIC1679","A",0.50208,0.50208,"NIC1679",22.08922,120.84876,"Taiwan","Tw7"
"36","NIC1163","A",1e-05,0.50233,"NIC1163",-12.875965,-69.49581496,"South America","LAC"
"37","NIC441","A",1e-05,0.507555,"NIC441",4.08399,-52.67769,"South America","LAC"
"38","QG3795","A",1e-05,0.507625,"QG3795",10.42608333,-84.0092,"Central America","LAC"
"39","JU1851","A",1e-05,0.510087,"JU1851",4.087367,-52.682217,"South America","LAC"
"40","JU1849","A",1e-05,0.51055,"JU1849",4.086683,-52.68165,"South America","LAC"
"41","NIC55","A",1e-05,0.512699,"NIC55",4.08225,-52.67965,"South America","LAC"
"42","NIC454","A",1e-05,0.513372,"NIC454",4.08318,-52.68343,"South America","LAC"
"43","NIC461","A",1e-05,0.513372,"NIC461",4.08318,-52.68343,"South America","LAC"
"44","QG3868","A",1e-05,0.513956,"QG3868",10.43888,-84.01353,"Central America","LAC"
"45","NIC2365","A",1e-05,0.515303,"NIC2365",4.038977036,-52.667358,"South America","LAC"
"46","NIC1192","A",1e-05,0.518041,"NIC1192",-12.849763,-69.45771201,"South America","LAC"
"47","NIC99","A",1e-05,0.518075,"NIC99",4.08747,-52.67394,"South America","LAC"
"48","NIC1950","A",1e-05,0.520707,"NIC1950",14.743477,-61.095204,"Caribbean","HC"
"49","JU1846","A",1e-05,0.52208,"JU1846",4.0911,-52.674633,"South America","LAC"
"50","NIC492","A",1e-05,0.5221,"NIC492",4.0864,-52.67639,"South America","LAC"
"51","QG3521","A",1e-05,0.522582,"QG3521",10.42643333,-84.01193333,"Central America","LAC"
"52","NIC426","A",1e-05,0.523234,"NIC426",5.41125,-53.65478,"South America","LAC"
"53","NIC2355","A",1e-05,0.523235,"NIC2355",4.041457996,-52.676275,"South America","LAC"
"54","NIC314","A",1e-05,0.527561,"NIC314",4.03715,-52.67214,"South America","LAC"
"55","NIC91","A",1e-05,0.528085,"NIC91",4.08747,-52.67394,"South America","LAC"
"56","HPT33","A",1e-05,0.528251,"HPT33",-5.2563,119.86386,"Indonesia","Indo3"
"57","NIC1033","A",1e-05,0.529103,"NIC1033",4.03724,-52.67196,"South America","LAC"
"58","NIC894","A",1e-05,0.529907,"NIC894",22.01967,121.57357,"Taiwan","Tw4"
"59","NIC895","A",1e-05,0.529907,"NIC895",22.01967,121.57357,"Taiwan","Tw4"
"60","NIC1384","A",1e-05,0.530821,"NIC1384",4.047968974,-52.67714404,"South America","LAC"
"61","NIC898","A",1e-05,0.53299,"NIC898",22.01967,121.57357,"Taiwan","Tw4"
"62","NIC905","A",1e-05,0.534768,"NIC905",4.03799,-52.67317,"South America","LAC"
"63","JU1848","A",1e-05,0.538013,"JU1848",4.090933,-52.674933,"South America","LAC"
"64","NIC384","A",1e-05,0.54179,"NIC384",4.06126,-52.67946,"South America","LAC"
"65","NIC1477","A",1e-05,0.541964,"NIC1477",4.086242002,-52.67756699,"South America","LAC"
"66","NIC2367","A",1e-05,0.542823,"NIC2367",4.038957004,-52.66788497,"South America","LAC"
"67","NIC56","A",1e-05,0.546671,"NIC56",4.08263,-52.67992,"South America","LAC"
"68","NIC1126","A",1e-05,0.547898,"NIC1126",-12.874715,-69.49602501,"South America","LAC"
"69","NIC907","A",1e-05,0.551652,"NIC907",4.04842,-52.67683,"South America","LAC"
"70","NIC291","A",1e-05,0.552899,"NIC291",4.092299,-52.675813,"South America","LAC"
"71","QG800","A",1e-05,0.553914,"QG800",9.158057,-79.834221,"Central America","LAC"
"72","NIC458","A",1e-05,0.554112,"NIC458",4.08141,-52.68219,"South America","LAC"
"73","NIC389","A",1e-05,0.556378,"NIC389",5.29111,-53.05539,"South America","LAC"
"74","JU2750","A",1e-05,0.56733,"JU2750",16.1761,-61.6951,"Caribbean","LAC"
"75","JU1845","A",1e-05,0.568406,"JU1845",4.089583,-52.67705,"South America","LAC"
"76","QG3514","A",1e-05,0.568626,"QG3514",10.43089,-84.00684,"Central America","LAC"
"77","NIC987","A",1e-05,0.569433,"NIC987",4.03726,-52.67243,"South America","LAC"
"78","NIC1430","A",1e-05,0.570893,"NIC1430",4.049461037,-52.67627399,"South America","LAC"
"79","NIC51","A",1e-05,0.571191,"NIC51",4.08729,-52.68139,"South America","LAC"
"80","NIC1338","A",1e-05,0.572102,"NIC1338",4.048259994,-52.67714798,"South America","LAC"
"81","ECA806","A",1e-05,0.572242,"ECA806",20.813647,-156.118573,"Hawaii","Af"
"82","NIC2366","A",1e-05,0.573755,"NIC2366",4.038928002,-52.66763904,"South America","LAC"
