"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo"
"1","NIC1381","A",1e-05,0.271651,"NIC1381",4.039456984,-52.67586404,"South America"
"2","NIC1856","A",1e-05,0.276934,"NIC1856",14.674356,-61.095002,"Caribbean"
"3","JU2750","A",1e-05,0.293387,"JU2750",16.1761,-61.6951,"Caribbean"
"4","NIC1156","A",1e-05,0.331917,"NIC1156",-12.990649,-69.507455,"South America"
"5","NIC1157","A",1e-05,0.332128,"NIC1157",-12.990649,-69.507455,"South America"
"6","QG3856","A",1e-05,0.334395,"QG3856",10.42540556,-84.00121667,"Central America"
"7","NIC2373","A",1e-05,0.343649,"NIC2373",4.042470027,-52.67842798,"South America"
"8","NIC940","A",1e-05,0.361625,"NIC940",4.03091,-52.68124,"South America"
"9","NIC407","A",1e-05,0.372363,"NIC407",5.41418,-53.65416,"South America"
"10","NIC344","A",1e-05,0.38108,"NIC344",5.41063,-53.6564,"South America"
"11","NIC907","A",1e-05,0.386245,"NIC907",4.04842,-52.67683,"South America"
"12","NIC1028","A",1e-05,0.398629,"NIC1028",4.03896,-52.66843,"South America"
"13","QG3522","A",1e-05,0.40327,"QG3522",10.42974,-84.00938,"Central America"
"14","QG2716","A",1e-05,0.405863,"QG2716",9.16835,-79.839279,"Central America"
"15","NIC1886","A",1e-05,0.410991,"NIC1886",14.705951,-61.092991,"Caribbean"
"16","QG800","A",1e-05,0.416376,"QG800",9.158057,-79.834221,"Central America"
"17","NIC2355","A",1e-05,0.430295,"NIC2355",4.041457996,-52.676275,"South America"
"18","NIC1411","A",1e-05,0.441428,"NIC1411",3.596770959,-53.17791598,"South America"
"19","NIC925","A",1e-05,0.445469,"NIC925",4.03975,-52.67435,"South America"
"20","NIC312","A",1e-05,0.448902,"NIC312",4.03892,-52.67656,"South America"
"21","NIC1962","A",1e-05,0.450877,"NIC1962",14.744117,-61.093023,"Caribbean"
"22","JU2505","A",1e-05,0.455441,"JU2505",10.4708,-84.6452,"Central America"
"23","NIC920","A",1e-05,0.455888,"NIC920",4.04232,-52.68144,"South America"
"24","NIC1290","A",1e-05,0.461074,"NIC1290",3.605792988,-53.17799502,"South America"
"25","NIC1420","A",1e-05,0.464036,"NIC1420",3.603495006,-53.19458197,"South America"
"26","QG840","A",1e-05,0.468192,"QG840",9.161421,-79.837195,"Central America"
"27","JU2752","A",1e-05,0.468713,"JU2752",16.1761,-61.6951,"Caribbean"
"28","NIC945","A",1e-05,0.470926,"NIC945",4.03707,-52.6772,"South America"
"29","QG3800","A",1e-05,0.473305,"QG3800",10.42974,-84.00938,"Central America"
"30","QG3808","A",1e-05,0.474275,"QG3808",10.43288,-84.00678,"Central America"
"31","NIC94","A",1e-05,0.477257,"NIC94",4.08747,-52.67394,"South America"
"32","HPT56","A",1e-05,0.481368,"HPT56",-8.52582,115.167492,"Malay Archipelago"
"33","QG942","A",1e-05,0.483774,"QG942",9.144538,-79.854772,"Central America"
"34","NIC2362","A",1e-05,0.498384,"NIC2362",4.038404971,-52.677023,"South America"
"35","NIC1422","A",1e-05,0.499198,"NIC1422",3.639726033,-53.20330401,"South America"
"36","QG823","A",1e-05,0.499944,"QG823",9.152413,-79.850852,"Central America"
"37","NIC1927","A",1e-05,0.501452,"NIC1927",14.719237,-61.100187,"Caribbean"
"38","NIC988","A",1e-05,0.504971,"NIC988",4.03726,-52.67243,"South America"
"39","NIC987","A",1e-05,0.510842,"NIC987",4.03726,-52.67243,"South America"
"40","ECA794","A",1e-05,0.516109,"ECA794",22.053952,-159.367837,"Hawaii"
"41","ECA790","A",1e-05,0.516628,"ECA790",22.053952,-159.367837,"Hawaii"
"42","HPT33","A",0.517959,0.517959,"HPT33",-5.2563,119.86386,"Malay Archipelago"
"43","NIC384","A",1e-05,0.519949,"NIC384",4.06126,-52.67946,"South America"
"44","NIC1950","A",1e-05,0.529119,"NIC1950",14.743477,-61.095204,"Caribbean"
"45","QG3793","A",1e-05,0.533184,"QG3793",10.42583333,-84.00995,"Central America"
"46","NIC1881","A",1e-05,0.534117,"NIC1881",14.744609,-61.094657,"Caribbean"
"47","NIC443","A",1e-05,0.537569,"NIC443",4.08447,-52.67858,"South America"
"48","QG131","A",1e-05,0.542778,"QG131",22.22955,-159.4764,"Hawaii"
"49","QG3850","A",1e-05,0.545595,"QG3850",10.42972,-84.00718,"Central America"
"50","NIC1383","A",1e-05,0.547686,"NIC1383",4.038909981,-52.673385,"South America"
"51","NIC917","A",1e-05,0.548975,"NIC917",4.03446,-52.67816,"South America"
"52","QG3529","A",1e-05,0.55045,"QG3529",10.43288,-84.00678,"Central America"
"53","NIC492","A",1e-05,0.552041,"NIC492",4.0864,-52.67639,"South America"
"54","NIC478","A",1e-05,0.552208,"NIC478",4.08855,-52.67645,"South America"
"55","NIC387","A",1e-05,0.557896,"NIC387",4.03671,-52.67728,"South America"
"56","NIC927","A",1e-05,0.561397,"NIC927",4.04213,-52.68083,"South America"
"57","NIC1679","A",0.379662,0.564342,"NIC1679",22.08922,120.84876,"Taiwan"
"58","NIC1914","A",1e-05,0.570046,"NIC1914",14.724882,-61.105406,"Caribbean"
"59","NIC773","A",1e-05,0.57277,"NIC773",15.3456,-61.30918,"Caribbean"
"60","NIC1651","A",1e-05,0.574477,"NIC1651",25.02814,121.74912,"Taiwan"
"61","NIC1391","A",1e-05,0.577125,"NIC1391",3.596770959,-53.17791598,"South America"
"62","NIC1912","A",1e-05,0.580153,"NIC1912",14.724882,-61.105406,"Caribbean"
"63","QG3799","A",1e-05,0.580705,"QG3799",10.43008,-84.00894,"Central America"
"64","NIC1000","A",1e-05,0.584352,"NIC1000",4.0391,-52.6675,"South America"
"65","NIC980","A",1e-05,0.587111,"NIC980",4.03822,-52.67031,"South America"
"66","NIC122","A",1e-05,0.587122,"NIC122",16.1779,-61.6563,"Caribbean"
"67","ECA799","A",1e-05,0.589691,"ECA799",19.589467,-155.068069,"Hawaii"
"68","NIC1592","A",1e-05,0.59071,"NIC1592",24.68622,121.13734,"Taiwan"
"69","NIC1594","A",1e-05,0.590784,"NIC1594",24.68622,121.13734,"Taiwan"
"70","QG3863","A",1e-05,0.591724,"QG3863",10.42974,-84.00938,"Central America"
"71","NIC959","A",1e-05,0.592376,"NIC959",4.03201,-52.68039,"South America"
"72","NIC57","A",1e-05,0.593142,"NIC57",4.08658,-52.67928,"South America"
"73","ECA806","A",0.594281,0.594281,"ECA806",20.813647,-156.118573,"Hawaii"
"74","NIC192","A",1e-05,0.596638,"NIC192",16.0459,-61.6262,"Caribbean"
"75","NIC753","A",1e-05,0.603561,"NIC753",15.39802,-61.31219,"Caribbean"
"76","QG3547","A",1e-05,0.604007,"QG3547",10.42551667,-84.01403333,"Central America"
"77","QG3848","A",1e-05,0.604244,"QG3848",10.43082,-84.01138,"Central America"
"78","NIC1555","A",1e-05,0.605059,"NIC1555",25.02132,121.73295,"Taiwan"
"79","QG3514","A",1e-05,0.610411,"QG3514",10.43089,-84.00684,"Central America"
"80","NIC1976","A",1.8e-05,0.612635,"NIC1976",14.67639,-61.090457,"Caribbean"
"81","NIC1862","A",1e-05,0.612987,"NIC1862",14.843986,-61.214646,"Caribbean"
"82","NIC1355","A",1e-05,0.619907,"NIC1355",4.057417978,-52.67890298,"South America"
"83","NIC1341","A",1e-05,0.621546,"NIC1341",4.047429012,-52.67763203,"South America"
"84","NIC909","A",1e-05,0.621695,"NIC909",4.03955,-52.67374,"South America"
"85","NIC350","A",1e-05,0.621971,"NIC350",4.0903,-52.6842,"South America"
"86","QG3868","A",1e-05,0.624748,"QG3868",10.43888,-84.01353,"Central America"
"87","NIC422","A",1e-05,0.62878,"NIC422",4.03943,-52.67587,"South America"
"88","NIC1177","A",1e-05,0.628828,"NIC1177",-12.881345,-69.49006297,"South America"
"89","NIC2360","A",1e-05,0.635009,"NIC2360",4.03893102,-52.67661296,"South America"
"90","NIC2367","A",1e-05,0.637042,"NIC2367",4.038957004,-52.66788497,"South America"
"91","NIC51","A",1e-05,0.638151,"NIC51",4.08729,-52.68139,"South America"
"92","BRC20391","A",1e-05,0.638436,"BRC20391",25.016672,121.557423,"Taiwan"
"93","ECA791","A",1e-05,0.639728,"ECA791",22.193317,-159.478956,"Hawaii"
"94","ECA792","A",1e-05,0.640406,"ECA792",22.193317,-159.478956,"Hawaii"
"95","NIC929","A",1e-05,0.641733,"NIC929",4.04027,-52.67537,"South America"
"96","NIC1293","A",1e-05,0.642372,"NIC1293",3.644524002,-53.19812902,"South America"
"97","NIC1305","A",1e-05,0.64466,"NIC1305",3.614802025,-53.19812601,"South America"
"98","NIC1004","A",1e-05,0.647376,"NIC1004",4.03896,-52.66843,"South America"
"99","NIC1301","A",1e-05,0.65002,"NIC1301",3.620189996,-53.20809804,"South America"
"100","NIC424","A",1e-05,0.652754,"NIC424",5.41432,-53.65382,"South America"
"101","NIC1337","A",1e-05,0.653502,"NIC1337",4.048613962,-52.676549,"South America"
"102","QG3845","A",1e-05,0.65565,"QG3845",10.43082,-84.01138,"Central America"
"103","QG3795","A",1e-05,0.655931,"QG3795",10.42608333,-84.0092,"Central America"
"104","QG3786","A",1e-05,0.657321,"QG3786",10.42963,-84.00833,"Central America"
"105","NIC934","A",1e-05,0.657904,"NIC934",4.04783,-52.67766,"South America"
"106","NIC1338","A",1e-05,0.664237,"NIC1338",4.048259994,-52.67714798,"South America"
"107","NIC1268","A",1e-05,0.665518,"NIC1268",3.608203959,-53.175201,"South America"
"108","NIC2375","A",1e-05,0.66861,"NIC2375",4.042458963,-52.67848103,"South America"
"109","NIC1307","A",1e-05,0.668914,"NIC1307",4.868027978,-52.34595903,"South America"
"110","NIC1300","A",1e-05,0.669225,"NIC1300",3.594842032,-53.17887696,"South America"
"111","NIC916","A",1e-05,0.669694,"NIC916",4.03928,-52.67371,"South America"
"112","NIC1393","A",1e-05,0.670534,"NIC1393",3.621482989,-53.21409596,"South America"
"113","NIC1939","A",1e-05,0.670842,"NIC1939",14.80577,-61.147328,"Caribbean"
"114","NIC1425","A",1e-05,0.671987,"NIC1425",4.039971968,-52.674937,"South America"
"115","NIC2357","A",1e-05,0.676948,"NIC2357",4.039690001,-52.67415999,"South America"
"116","NIC1928","A",1e-05,0.679826,"NIC1928",14.719237,-61.100187,"Caribbean"
"117","NIC1563","A",1e-05,0.680695,"NIC1563",25.00481,121.73369,"Taiwan"
"118","NIC420","A",1e-05,0.681698,"NIC420",5.41089,-53.6565,"South America"
"119","NIC1192","A",1e-05,0.683724,"NIC1192",-12.849763,-69.45771201,"South America"
"120","NIC2368","A",1e-05,0.686658,"NIC2368",4.039645996,-52.67438103,"South America"
"121","QG3880","A",1e-05,0.687537,"QG3880",10.43089,-84.00684,"Central America"
"122","NIC436","A",1e-05,0.687935,"NIC436",4.08678,-52.67515,"South America"
"123","NIC1126","A",1e-05,0.689601,"NIC1126",-12.874715,-69.49602501,"South America"
"124","NIC775","A",1e-05,0.692607,"NIC775",15.34529,-61.31009,"Caribbean"
"125","NIC114","A",1e-05,0.696571,"NIC114",16.0435,-61.643,"Caribbean"
"126","NIC1163","A",1e-05,0.698201,"NIC1163",-12.875965,-69.49581496,"South America"
"127","NIC898","A",1e-05,0.698215,"NIC898",22.01967,121.57357,"Taiwan"
"128","NIC354","A",1e-05,0.700377,"NIC354",4.0881,-52.6753,"South America"
"129","NIC894","A",1e-05,0.702334,"NIC894",22.01967,121.57357,"Taiwan"
"130","NIC895","A",1e-05,0.702334,"NIC895",22.01967,121.57357,"Taiwan"
"131","NIC1188","A",1e-05,0.702725,"NIC1188",-12.88252903,-69.48456,"South America"
"132","NIC944","A",1e-05,0.703744,"NIC944",4.03799,-52.6772,"South America"
"133","JU1976","A",1e-05,0.706894,"JU1976",-2.96,-59.84,"South America"
"134","NIC1344","A",1e-05,0.709703,"NIC1344",4.055127036,-52.67816302,"South America"
"135","NIC1929","A",1e-05,0.715154,"NIC1929",14.670499,-61.09485,"Caribbean"
"136","NIC1419","A",1e-05,0.716936,"NIC1419",3.603130979,-53.19263603,"South America"
"137","NIC479","A",1e-05,0.721947,"NIC479",4.08631,-52.67243,"South America"
"138","NIC1257","A",1e-05,0.725739,"NIC1257",4.085349999,-52.68294297,"South America"
"139","QG3818","A",1e-05,0.727833,"QG3818",10.4262,-84.0013167,"Central America"
"140","QG853","A",1e-05,0.7303,"QG853",9.159372,-79.835975,"Central America"
"141","NIC247","A",1e-05,0.731029,"NIC247",16.03608,-61.635025,"Caribbean"
"142","NIC994","A",1e-05,0.732219,"NIC994",4.04243,-52.67869,"South America"
"143","QG3871","A",1e-05,0.732723,"QG3871",10.44027,-84.01227,"Central America"
"144","NIC404","A",1e-05,0.736512,"NIC404",5.41011,-53.65462,"South America"
"145","QG3024","A",1e-05,0.73965,"QG3024",9.1584,-79.84555,"Central America"
"146","NIC948","A",1e-05,0.739915,"NIC948",4.03711,-52.67206,"South America"
"147","QG3831","A",1e-05,0.740601,"QG3831",10.43182,-84.01499,"Central America"
"148","NIC1855","A",1e-05,0.743212,"NIC1855",14.675129,-61.095721,"Caribbean"
"149","JU1835","A",1e-05,0.74367,"JU1835",4.085783,-52.6791,"South America"
"150","NIC203","A",1e-05,0.747867,"NIC203",16.0459,-61.6262,"Caribbean"
"151","QG2726","A",1e-05,0.750525,"QG2726",9.1598,-79.8399,"Central America"
"152","QG3877","A",1e-05,0.751388,"QG3877",10.43008,-84.00894,"Central America"
"153","NIC363","A",1e-05,0.75205,"NIC363",4.95234,-52.49148,"South America"
"154","QG5305","A",1e-05,0.752076,"QG5305",6.9194,158.271,"Micronesia"
"155","NIC2364","A",1e-05,0.759712,"NIC2364",4.035310037,-52.67778299,"South America"
"156","QG4646","A",1e-05,0.761665,"QG4646",6.8567,158.2236,"Micronesia"
"157","QG4782","A",1e-05,0.761775,"QG4782",6.8567,158.2236,"Micronesia"
"158","QG4869","A",1e-05,0.761775,"QG4869",6.8567,158.2236,"Micronesia"
"159","QG3834","A",1e-05,0.762595,"QG3834",10.42972,-84.00718,"Central America"
"160","JU1635","A",1e-05,0.763729,"JU1635",17.121,-25.0492,"Africa"
"161","NIC983","A",1e-05,0.765349,"NIC983",4.03848,-52.67002,"South America"
"162","NIC444","A",1e-05,0.766541,"NIC444",4.08422,-52.67452,"South America"
"163","NIC56","A",1e-05,0.766599,"NIC56",4.08263,-52.67992,"South America"
"164","NIC1252","A",1e-05,0.766734,"NIC1252",4.085349999,-52.68294297,"South America"
"165","JU1870","A",1e-05,0.767057,"JU1870",4.082883,-52.679783,"South America"
"166","NIC2363","A",1e-05,0.767289,"NIC2363",4.037193032,-52.67742399,"South America"
"167","NIC458","A",1e-05,0.769443,"NIC458",4.08141,-52.68219,"South America"
"168","NIC1405","A",1e-05,0.771182,"NIC1405",3.600050965,-53.18947999,"South America"
"169","NIC1430","A",1e-05,0.771492,"NIC1430",4.049461037,-52.67627399,"South America"
"170","NIC1382","A",1e-05,0.775182,"NIC1382",4.038440008,-52.67334703,"South America"
"171","NIC1387","A",1e-05,0.775646,"NIC1387",3.603495006,-53.19458197,"South America"
"172","QG3843","A",1e-05,0.776825,"QG3843",10.42963,-84.00833,"Central America"
"173","NIC389","A",1e-05,0.779371,"NIC389",5.29111,-53.05539,"South America"
"174","EG5889","A",1e-05,0.779875,"EG5889",18.3,-65.8,"Caribbean"
"175","NIC193","A",1e-05,0.784403,"NIC193",16.0207,-61.597,"Caribbean"
"176","NIC311","A",1e-05,0.784885,"NIC311",4.09125,-52.67489,"South America"
"177","NIC249","A",1e-05,0.784981,"NIC249",16.0207,-61.597,"Caribbean"
"178","NIC280","A",1e-05,0.7877,"NIC280",4.08711,-52.67839,"South America"
"179","QG3543","A",1e-05,0.794459,"QG3543",10.42641667,-84.01201667,"Central America"
"180","NIC55","A",1e-05,0.795849,"NIC55",4.08225,-52.67965,"South America"
"181","QG3789","A",1e-05,0.79976,"QG3789",10.42608333,-84.0092,"Central America"
"182","NIC489","A",1e-05,0.803772,"NIC489",4.08695,-52.67731,"South America"
"183","NIC1270","A",1e-05,0.80989,"NIC1270",3.599450989,-53.18744604,"South America"
"184","NIC496","A",1e-05,0.810271,"NIC496",4.08803,-52.67552,"South America"
"185","NIC417","A",1e-05,0.810639,"NIC417",4.07829,-52.68732,"South America"
"186","NIC85","A",1e-05,0.812616,"NIC85",4.08533,-52.6751,"South America"
"187","QG3847","A",1e-05,0.813341,"QG3847",10.41828889,-84.00399167,"Central America"
"188","QG3852","A",1e-05,0.814861,"QG3852",10.41900556,-84.00699722,"Central America"
"189","QG3539","A",1e-05,0.816172,"QG3539",10.42332222,-84.00135556,"Central America"
"190","NIC1433","A",1e-05,0.816776,"NIC1433",4.055725001,-52.67804501,"South America"
"191","JU1975","A",1e-05,0.817101,"JU1975",-2.96,-59.84,"South America"
"192","QG3828","A",1e-05,0.817817,"QG3828",10.42346389,-84.00128333,"Central America"
"193","NIC1376","A",1e-05,0.818622,"NIC1376",4.083392993,-52.68151998,"South America"
"194","NIC586","A",1e-05,0.81924,"NIC586",15.40493,-61.34619,"Caribbean"
"195","NIC1033","A",1e-05,0.819898,"NIC1033",4.03724,-52.67196,"South America"
"196","NIC426","A",1e-05,0.821099,"NIC426",5.41125,-53.65478,"South America"
"197","NIC1137","A",1e-05,0.825262,"NIC1137",-12.872141,-69.49788203,"South America"
"198","HPT25","A",1e-05,0.826238,"HPT25",-8.5315,116.239193,"Malay Archipelago"
"199","NIC941","A",1e-05,0.828766,"NIC941",4.03687,-52.67743,"South America"
"200","NIC1343","A",1e-05,0.828978,"NIC1343",4.048513966,-52.67673198,"South America"
"201","QG3790","A",1e-05,0.829527,"QG3790",10.42551667,-84.01403333,"Central America"
"202","NIC1879","A",1e-05,0.830057,"NIC1879",14.746073,-61.086543,"Caribbean"
"203","QG3821","A",1e-05,0.831149,"QG3821",10.42540556,-84.00121667,"Central America"
"204","QG848","A",1e-05,0.832644,"QG848",9.15445,-79.82763,"Central America"
"205","NIC459","A",1e-05,0.833334,"NIC459",4.08161,-52.68424,"South America"
"206","QG3817","A",1e-05,0.833573,"QG3817",10.42972,-84.00742,"Central America"
"207","NIC1917","A",1e-05,0.836259,"NIC1917",14.67639,-61.090457,"Caribbean"
"208","EG6180","A",0.103742,0.83813,"EG6180",18.3,-65.8,"Caribbean"
"209","NIC1657","A",1e-05,0.83819,"NIC1657",25.02814,121.74912,"Taiwan"
"210","QG981","A",1e-05,0.838225,"QG981",9.14576403,-79.8544232,"Central America"
"211","NIC1656","A",1e-05,0.838265,"NIC1656",25.02814,121.74912,"Taiwan"
"212","QG3785","A",1e-05,0.838442,"QG3785",10.43082,-84.01138,"Central America"
"213","NIC468","A",1e-05,0.840442,"NIC468",4.0883,-52.67541,"South America"
"214","NIC1432","A",1e-05,0.842954,"NIC1432",4.087813022,-52.67992197,"South America"
"215","NIC300","A",1e-05,0.848237,"NIC300",4.08969,-52.67731,"South America"
"216","JU1845","A",1e-05,0.85036,"JU1845",4.089583,-52.67705,"South America"
"217","NIC572","A",1e-05,0.853461,"NIC572",15.47461,-61.29876,"Caribbean"
"218","NIC571","A",1e-05,0.853578,"NIC571",15.47461,-61.29876,"Caribbean"
"219","QG3807","A",1e-05,0.855823,"QG3807",10.43182,-84.01499,"Central America"
"220","NIC952","A",1e-05,0.856877,"NIC952",4.03894,-52.66867,"South America"
"221","NIC1038","A",1e-05,0.856969,"NIC1038",4.03896,-52.66843,"South America"
"222","NIC450","A",1e-05,0.858392,"NIC450",4.08926,-52.67607,"South America"
"223","NIC905","A",1e-05,0.859228,"NIC905",4.03799,-52.67317,"South America"
"224","NIC1851","A",1e-05,0.85923,"NIC1851",14.72499,-61.105335,"Caribbean"
"225","NIC1913","A",1e-05,0.859622,"NIC1913",14.724882,-61.105406,"Caribbean"
"226","NIC1181","A",1e-05,0.863376,"NIC1181",-12.88332003,-69.48725897,"South America"
"227","NIC393","A",1e-05,0.868233,"NIC393",4.04701,-52.67817,"South America"
"228","JU1838","A",1e-05,0.868408,"JU1838",4.085517,-52.681917,"South America"
"229","NIC1165","A",1e-05,0.871805,"NIC1165",-12.87688399,-69.49484501,"South America"
"230","NIC413","A",1e-05,0.873273,"NIC413",4.07244,-52.69034,"South America"
"231","NIC425","A",1e-05,0.874357,"NIC425",5.53544,-53.5634,"South America"
"232","NIC933","A",1e-05,0.875443,"NIC933",4.04237,-52.68256,"South America"
"233","NIC903","A",1e-05,0.876051,"NIC903",4.04877,-52.67666,"South America"
"234","NIC939","A",1e-05,0.876773,"NIC939",4.03128,-52.68028,"South America"
"235","NIC1372","A",1e-05,0.882883,"NIC1372",4.081040025,-52.68228097,"South America"
"236","NIC1112","A",1e-05,0.885895,"NIC1112",-12.829016,-71.377696,"South America"
"237","NIC1272","A",1e-05,0.88804,"NIC1272",3.648232995,-53.19701498,"South America"
"238","NIC1275","A",1e-05,0.888242,"NIC1275",3.643404013,-53.19835701,"South America"
"239","NIC391","A",1e-05,0.891525,"NIC391",4.03715,-52.67126,"South America"
"240","JU3170","A",0.085996,0.893779,"JU3170",0.289,6.612,"Africa"
"241","NIC1410","A",1e-05,0.894471,"NIC1410",3.61230799,-53.21481999,"South America"
"242","NIC1323","A",1e-05,0.899457,"NIC1323",4.556285972,-52.20881601,"South America"
"243","NIC1363","A",1e-05,0.899644,"NIC1363",4.058048967,-52.67827903,"South America"
"244","NIC1378","A",1e-05,0.90195,"NIC1378",4.0951,-52.686219,"South America"
"245","NIC1317","A",1e-05,0.902064,"NIC1317",4.555320963,-52.209778,"South America"
"246","HPT39","A",1e-05,0.902097,"HPT39",-5.252764,119.865139,"Malay Archipelago"
"247","QG850","A",1e-05,0.903481,"QG850",9.159436,-79.844493,"Central America"
"248","NIC908","A",1e-05,0.908162,"NIC908",4.04372,-52.67704,"South America"
"249","NIC993","A",1e-05,0.912557,"NIC993",4.04255,-52.67816,"South America"
"250","NIC321","A",1e-05,0.913379,"NIC321",5.53515,-53.56151,"South America"
"251","NIC533","A",1e-05,0.913958,"NIC533",16.01855,-61.597903,"Caribbean"
"252","NIC1389","A",1e-05,0.918539,"NIC1389",3.616803959,-53.19629196,"South America"
"253","NIC1170","A",1e-05,0.918607,"NIC1170",-12.87956603,-69.49155604,"South America"
"254","QG3009","A",1e-05,0.920027,"QG3009",9.16005,-79.841,"Central America"
"255","NIC2365","A",1e-05,0.92015,"NIC2365",4.038977036,-52.667358,"South America"
"256","NIC986","A",1e-05,0.920243,"NIC986",4.03726,-52.67243,"South America"
"257","NIC2366","A",1e-05,0.924538,"NIC2366",4.038928002,-52.66763904,"South America"
"258","NIC441","A",1e-05,0.927428,"NIC441",4.08399,-52.67769,"South America"
"259","NIC1395","A",1e-05,0.930317,"NIC1395",3.632552968,-53.20619199,"South America"
"260","NIC1386","A",1e-05,0.930544,"NIC1386",3.602447016,-53.19164,"South America"
"261","NIC1116","A",1e-05,0.939743,"NIC1116",-12.838824,-71.365178,"South America"
"262","NIC953","A",1e-05,0.940791,"NIC953",4.03828,-52.6715,"South America"
"263","NIC1254","A",1e-05,0.944809,"NIC1254",4.085349999,-52.68294297,"South America"
"264","QG3523","A",1e-05,0.951131,"QG3523",10.43288,-84.00678,"Central America"
"265","QG3824","A",1e-05,0.953292,"QG3824",10.44022,-84.01188,"Central America"
"266","JU1821","A",1e-05,0.953756,"JU1821",4.087967,-52.675167,"South America"
"267","QG3809","A",1e-05,0.954441,"QG3809",10.43288,-84.00678,"Central America"
"268","JU1819","A",1e-05,0.962968,"JU1819",4.08805,-52.675667,"South America"
"269","QG3545","A",1e-05,0.965926,"QG3545",10.42361667,-84.00118611,"Central America"
"270","NIC1155","A",1e-05,0.968779,"NIC1155",-12.87564204,-69.49654997,"South America"
"271","NIC339","A",1e-05,0.970277,"NIC339",5.41305,-53.65004,"South America"
"272","NIC1415","A",1e-05,0.97158,"NIC1415",3.637292013,-53.20446499,"South America"
"273","NIC105","A",1e-05,0.975794,"NIC105",4.08747,-52.67394,"South America"
"274","NIC408","A",1e-05,0.978313,"NIC408",5.40848,-53.65181,"South America"
"275","NIC1016","A",1e-05,0.97966,"NIC1016",4.03793,-52.67185,"South America"
"276","NIC1392","A",1e-05,0.980494,"NIC1392",3.601659033,-53.190647,"South America"
"277","NIC1278","A",1e-05,0.991605,"NIC1278",3.638634961,-53.20414497,"South America"
"278","QG3829","A",1e-05,0.99163,"QG3829",10.42346389,-84.00128333,"Central America"
"279","JU1639","A",1.3e-05,0.999782,"JU1639",17.149,-25.0696,"Africa"
"280","NIC1564","A",1e-05,0.999782,"NIC1564",25.00469,121.7343,"Taiwan"
"281","NIC1648","A",1e-05,0.999782,"NIC1648",25.06574,121.82753,"Taiwan"
"282","NIC1650","A",1e-05,0.999782,"NIC1650",25.06574,121.82753,"Taiwan"
"283","NIC530","A",1e-05,0.999782,"NIC530",24.6,121,"Taiwan"
"284","NIC1544","A",1e-05,0.999783,"NIC1544",25.05343,121.77265,"Taiwan"
"285","NIC1561","A",1e-05,0.999783,"NIC1561",25.00481,121.73369,"Taiwan"
"286","BRC20464","A",1e-05,0.999785,"BRC20464",24.822726,121.735653,"Taiwan"
"287","ECA1306","A",1.8e-05,0.999786,"ECA1306",21.34293,-157.8239,"Hawaii"
"288","NIC1550","A",1e-05,0.999786,"NIC1550",25.05343,121.77265,"Taiwan"
"289","ECA2900","A",1e-05,0.999787,"ECA2900",21.355658,-157.7645652,"Hawaii"
"290","NIC1542","A",1e-05,0.999787,"NIC1542",25.05704,121.77109,"Taiwan"
"291","NIC1545","A",1e-05,0.999787,"NIC1545",25.05343,121.77265,"Taiwan"
"292","NIC1548","A",1e-05,0.999787,"NIC1548",25.05343,121.77265,"Taiwan"
"293","NIC1549","A",1e-05,0.999787,"NIC1549",25.05343,121.77265,"Taiwan"
"294","NIC1553","A",1e-05,0.999787,"NIC1553",25.02212,121.73275,"Taiwan"
"295","NIC1557","A",1e-05,0.999787,"NIC1557",25.01713,121.73247,"Taiwan"
"296","NIC1644","A",1e-05,0.999787,"NIC1644",25.06464,121.82481,"Taiwan"
"297","NIC1649","A",1e-05,0.999787,"NIC1649",25.06574,121.82753,"Taiwan"
"298","ECA1303","A",1e-05,0.999788,"ECA1303",21.34202,-157.8096,"Hawaii"
"299","JU1631","A",1e-05,0.99979,"JU1631",17.1404,-25.1261,"Africa"
"300","JU1641","A",1e-05,0.99979,"JU1641",14.9174,-23.6049,"Africa"
"301","NIC1551","A",1e-05,0.99979,"NIC1551",25.02212,121.73275,"Taiwan"
"302","NIC938","A",1e-05,0.99979,"NIC938",4.03397,-52.67852,"South America"
"303","ECA1310","A",1.7e-05,0.999791,"ECA1310",21.34293,-157.8239,"Hawaii"
"304","ECA1581","A",1e-05,0.999791,"ECA1581",21.317253,-157.81937,"Hawaii"
"305","ECA2087","A",1e-05,0.999791,"ECA2087",21.394489,-157.90023,"Hawaii"
"306","JU1636","A",1e-05,0.999791,"JU1636",17.129,-25.0966,"Africa"
"307","QG2899","A",1e-05,0.999791,"QG2899",-16.103617,145.4467,"Australia"
"308","ECA1301","A",1.8e-05,0.999792,"ECA1301",21.34202,-157.8096,"Hawaii"
"309","ECA1313","A",1e-05,0.999792,"ECA1313",20.04062,-155.4413,"Hawaii"
"310","JU1633","A",1e-05,0.999792,"JU1633",17.115,-25.05,"Africa"
"311","ECA1481","A",1e-05,0.999793,"ECA1481",21.39448889,-157.9002278,"Hawaii"
"312","ECA798","A",1e-05,0.999793,"ECA798",19.906725,-155.141275,"Hawaii"
"313","JU1630","A",1e-05,0.999793,"JU1630",17.1064,-25.1222,"Africa"
"314","ECA805","A",1e-05,0.999794,"ECA805",20.807406,-156.096654,"Hawaii"
"315","ECA1603","A",1e-05,0.999795,"ECA1603",21.39578611,-157.9005111,"Hawaii"
